المپیک	اسمعا=المپیک+رسمی
کاربران	اسمعا=کاربر+جان+رسمی
توییتر	اسمعا=توییتر+رسمی
کمتر	صفت=کمتر+رسمی
پشاور	اسمجا=پشاور+رسمی
داعش	اسمعا=داعش+رسمی
النصره	اسمعا=النصره+رسمی
حماس	اسمعا=حماس+رسمی
مزدورخبرنگار	اسمعا=مزدورخبرنگار+رسمی
ناتو	اسمعا=ناتو+رسمی
اینستاگرام	اسمعا=اینستاگرام+رسمی
اصل	اسمعا=اصل+رسمی
ق	حرف=ق+رسمی
ا	حرف=ا+رسمی
برجام	اسمخا=برجام+رسمی
وحتی	Break
شب‌ها	اسمعا=شب+جمع+،رسمی
خانومم	اسمها=خانوم+وشخصی1
😂	EMOJI
کرونا	اسمعا=کرونا+رسمی
ادووکات	اسمشخ=ادووکات+رسمی
تیم‌ملی	اسمعا=تیم‌ملی+رسمی
کی‌روش	اسمشخ=کی‌روش+رسمی
ادوکات	اسمشخ=ادووکات+رسمی
آریان۵	اسمخاص=آریان5+رسمی
کورو	اسمجا=کورو+رسمی
گویان	اسمجا=گویان+رسمی
بلینکن	اسمشخ=بلینکن+رسمی
هسته	منقطع=هسته+ای
آنکسی	چسبیده=آن+کسی
تقریبا	قید=تقریبا+رسمی
مخالفانش	صفت=مخالف+جان+وشخصی3
المللی	صفت+منقطع=بین‌المللی+رسمی
دی‌سی	اسمجا=دی‌سی+رسمی
آپالاچیا	اسمجا=آپالاچیا+رسمی
جویان	پسوند
شان	پسوند
مساله	اسمعا=مساله+رسمی
بین‌الملل	اسمعا=بین‌الملل
امیدخواننده	چسبیده=امید+خواننده
روسای	اسمعا=روسا(جم) +رسمی
رفسنجانی	اسمفا=رفسنجانی+رسمی
ظریف	اسمفامیل=ظریف+رسمی
طائب	اسمفامیل=طائب+رسمی
روس‌ها	اسمعا=روس+جها+رسمی
دیپلماسی‌اش	اسمعا=دیپلماسی+وشخصی3+رسمی
ماله‌کش	اسمعا=ماله‌کش+رسمی
بادکنکی‌	صفت=بادکنکی+رسمی
پروپاگاندا	اسمعا=پروپاگاندا+رسمی
طالبان	اسمخاص=طالبان+رسمی
مخبر	اسگشخ=مخبر+رسمی
اکبر	اسمشخص=اکبر+رسمی
ولایتی	اسمفامیل=ولایتی+رسمی
کوواکس	اسمخخاص=کوواکس+رسمی
اروپایی‌هایی	صفت=اروپائی+جها+رسمی
فارسی	اسمعا=فارسی+رسمی
کووکس	اسمخا=کووکس+رسمی
منوتو	اسمعا=منوتو+رسمی
وگفته	چسبیده=و+گفته
زندانیان	اسمعا=زندانی+جان+رسمی
ش	پسوند=وشخصی۳
حرامیان	صفت=حرامی+جان+رسمی
رسمیت	تایپی=رسمی+رسمی
برخی	مبهم=برخی+رسمی
نایس	صفت=نایس+رسمی
درکنار	چسبیده=در+کنار
فیک‌نیوز	اسمعا=فیک‌نیوز+رسمی
غرضی	اسمفا=غرضی+رسمی
اشتباهاتی	صفت=اشتباهات(جات) +نم+رسمی
درویشان	اسمعا=درویش+جان+رسمی
کنشگران	صفت=کنش‌گر+جان+رسمی
هوموفوبیک	صفت=هوموفوبیک+رسمی
سازی	پسوند
گردان	پسوند
آدیداس	اسمخا=آدیداس+رسمی
برندی	اسمعا=برند+نم+رسمی
مروژ	اسمخا=مروژ+رسمی
نیمروز	اسمجا=نیمروز+رسمی
تاکنون	قید=تاکنون+رسمی
مشایی	اسمفا=مشائی+زسمی
قالیباف	اسمفا=قالیباف+رسمی
فردا	اسمعا=فردا+رسمی
مگه	قید=مگر
آسترازنکایی	اسمخا=آسترازنکا+نم+رسمی
کره‌جنوبی	اسمجا=کره‌جنوبی+رسمی
فایزر‌	اسمخا=فایزر+رسمی
بایونتک	اسمخا=بایونتک+رسمی
یکبار	چسبیده=یک+بار
خبرنویسان	اسمعا=خبرنویس+جان+رسمی
زیباتشریف	چسبیده=زیبا+تشریف
گردها	پسوند
و‌کجا	چسبیده=و+کجا
نمی‌آئید	منفی+امری=آی+ش۵+رسمی
قدیمی	صفت=قدیمی+رسمی
نقد	اسمعا=نقد+رسمی
توییتهاشون	اسمعا=توییت+جها+وشخصی۶
دومینو	اسمخا=دومینو+رسمی
پورن‌هاب	اسمخا=پورن‌های+رسمی
اسکریپت	اسمعا=اسکریپت+رسمی
رودنبال	چسبیده=را+دنبال
فولدر	اسمعا=فولدر+رسمی
گیگ	اسمعا=گیگ+رسمی
توییت	اسمعا=توئیت+رسمس
